City,tweet,picture
Addis Ababa,Hop over to watch this insightful R-Ladies Github repo from Addis Ababa! Website here: https://r-ladies-addis.github.io/rladies-addis/ #rladies #iwd2020,Chapter AddisAbaba .png
Belo Horizonte,Want some incredible ideas to implement at your R-Ladies meetup? Belo Horizonte Github repo has some in store for you! Website here: http://rladiesbh.com.br/ #rladies #iwd2020,Chapter BeloHorizonte .png
Boston,Do you like #rstats? Looking to learn more? Visit the Boston's amazing Github repo! Website here: https://rladies.github.io/Boston/ #rladies #iwd2020,Chapter Boston .png
Bucharest,Looking for something to inspire you? browse the admirable Bucharest's Github repo Website here: https://www.rladiesbucharest.org/ #rladies #iwd2020,Chapter Bucharest .png
Cambridge,Hop over to watch this super R-Ladies Github repo from Cambridge! Website here: http://rladies.org.uk/ #rladies #iwd2020,Chapter Cambridge .png
Colombo,Do you like #rstats? Looking to learn more? Visit the Colombo's cool Github repo! Website here: https://rladiescolombo.netlify.com/ #rladies #iwd2020,Chapter Colombo .png
East Lansing,Did you know that East Lansing has a admirable Github repo full of awesome content? You can visit here! Website here: https://rladies-eastlansing.github.io #rladies #iwd2020,Chapter EastLansing .png
Irvine,Learn all about what #rstat with this incredible Github repo from Irvine! Website here: http://www.rladiesirvine.org/ #rladies #iwd2020,Chapter Irvine .png
Lausanne,Want some incredible ideas to implement at your R-Ladies meetup? Lausanne Github repo has some in store for you! Website here: https://rladieslausanne.github.io/ #rladies #iwd2020,Chapter Lausanne .png
New York City,Hop over to watch this intuitive R-Ladies Github repo from New York City! Website here: http://www.rladiesnyc.org/ #rladies #iwd2020,Chapter NewYorkCity .png
Philadelphia,Learn all about what #rstat with this splendid Github repo from Philadelphia! Website here: http://www.rladiesphilly.org/ #rladies #iwd2020,Chapter Philadelphia .png
Seattle,Learn all about what #rstat with this brilliant Github repo from Seattle! Website here: https://rladiesseattle.org/ #rladies #iwd2020,Chapter Seattle .png
Sydney,Did you know that Sydney has a awesome Github repo full of awesome content? You can visit here! Website here: https://rladiessydney.org/ #rladies #iwd2020,Chapter Sydney .png
